Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
28/12/2022,2022,Olympiakos,Asteras Tripolis,1.3,4.5,15.0,5.0,0.0,H,2,1,6,3,0,0,57,29,0,3,4,8,0,0,57,29
28/12/2022,2022,Levadeiakos,Ionikos,2.3,3.1,3.3,1.0,0.0,H,1,2,4,6,0,0,17,50,1,4,4,9,0,1,17,50
22/12/2022,2022,Panetolikos,PAOK,4.75,3.5,1.8,0.0,2.0,A,0,4,2,8,0,0,17,17,2,1,7,5,1,0,17,17
22/12/2022,2022,OFI Crete,Atromitos,2.25,3.3,3.2,0.0,1.0,A,1,2,4,6,0,0,14,29,1,4,5,8,1,0,14,29
21/12/2022,2022,Ionikos,Panathinaikos,8.0,3.8,1.5,1.0,1.0,D,0,2,5,11,0,2,0,67,5,0,12,2,1,0,0,67
21/12/2022,2022,Giannina,Olympiakos,9.0,4.5,1.4,2.0,2.0,D,2,2,7,12,0,2,33,33,3,1,7,4,0,0,33,33
21/12/2022,2022,Asteras Tripolis,Volos NFC,2.15,3.4,3.4,0.0,0.0,D,2,1,4,3,0,0,33,50,2,1,8,8,0,1,33,50
21/12/2022,2022,AEK,Lamia,1.14,7.5,21.0,3.0,0.0,H,5,0,12,1,2,0,83,0,0,2,1,8,0,1,83,0
21/12/2022,2022,Levadeiakos,Aris,5.0,3.75,1.73,1.0,1.0,D,1,2,4,6,0,0,20,40,2,2,6,3,1,0,20,40
14/11/2022,2022,OFI Crete,Levadeiakos,1.9,3.25,4.5,2.0,1.0,H,0,3,3,7,0,0,0,33,0,4,2,6,0,0,0,33
14/11/2022,2022,Asteras Tripolis,Ionikos,1.75,3.3,5.25,1.0,0.0,H,1,1,3,3,0,0,20,60,1,4,5,11,0,1,20,60
13/11/2022,2022,PAOK,Volos NFC,1.5,4.33,6.5,3.0,0.0,H,3,1,8,5,0,0,67,17,3,0,9,5,0,0,67,17
13/11/2022,2022,Olympiakos,AEK,2.3,3.2,3.1,0.0,0.0,D,3,1,9,4,0,0,67,17,3,1,8,3,0,0,67,17
13/11/2022,2022,Lamia,Panetolikos,2.2,3.25,3.5,1.0,3.0,A,1,2,3,7,0,1,20,40,2,0,8,4,1,0,20,40
13/11/2022,2022,Panathinaikos,Atromitos,1.4,4.5,9.0,2.0,0.0,H,4,0,8,2,1,0,86,14,1,4,6,8,1,0,86,14
13/11/2022,2022,Giannina,Aris,4.33,3.4,1.9,0.0,4.0,A,2,1,8,9,0,1,40,40,1,3,3,6,0,0,40,40
10/11/2022,2022,Ionikos,PAOK,5.25,3.6,1.7,0.0,3.0,A,0,1,5,8,0,1,0,80,1,1,4,5,0,0,0,80
10/11/2022,2022,Volos NFC,Giannina,1.75,3.6,4.75,2.0,1.0,H,3,2,7,7,0,1,50,17,0,4,3,11,0,1,50,17
09/11/2022,2022,AEK,OFI Crete,1.25,6.0,12.0,3.0,0.0,H,4,1,9,2,1,0,80,0,1,2,5,8,0,0,80,0
09/11/2022,2022,Atromitos,Asteras Tripolis,2.5,3.2,3.0,2.0,0.0,H,1,1,3,4,0,0,33,50,0,2,4,6,0,0,33,50
08/11/2022,2022,Aris,Lamia,1.53,4.0,7.0,5.0,0.0,H,2,1,5,5,0,0,50,33,0,2,1,4,0,0,50,33
